Split1	Split2
0.0	0.0
0.041666666666666664	0.041666666666666664
0.20833333333333334	0.20833333333333334
0.2916666666666667	0.20833333333333334
0.2916666666666667	0.25
0.3333333333333333	0.2916666666666667
0.375	0.3333333333333333
0.4583333333333333	0.3333333333333333
0.4583333333333333	0.375
0.625	0.375
0.625	0.5
0.7083333333333334	0.5
0.7916666666666666	0.5416666666666666
0.7916666666666666	0.5416666666666666
0.8333333333333334	0.5833333333333334
0.8333333333333334	0.5833333333333334
1.0	0.625
1.0	0.625
1.0	0.6666666666666666
1.0	0.6666666666666666
1.0	0.7083333333333334
1.0	0.7083333333333334
	0.75
	0.75
	1.0
	1.0
	1.0
	1.0
